iShares Core S&P 500 ETF
Fund Holdings as of,"Nov 18, 2022"
Inception Date,"May 15, 2000"
Shares Outstanding,"759,850,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","1,108,534,065.98","0.37","1,108,534,065.98","37,111,954.00","29.87","United States","NASDAQ","USD","1.00","USD","-"
"CAT","CATERPILLAR INC","Industrials","Equity","1,104,265,699.27","0.37","1,104,265,699.27","4,771,489.00","231.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SCHW","CHARLES SCHWAB CORP","Financials","Equity","1,101,478,800.03","0.36","1,101,478,800.03","13,801,263.00","79.81","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ORCL","ORACLE CORP","Information Technology","Equity","1,094,653,593.11","0.36","1,094,653,593.11","13,729,507.00","79.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MS","MORGAN STANLEY","Financials","Equity","1,079,644,242.00","0.36","1,079,644,242.00","12,103,635.00","89.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ELV","ELEVANCE HEALTH INC","Health Care","Equity","1,074,468,452.12","0.36","1,074,468,452.12","2,169,241.00","495.32","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","1,073,459,207.87","0.36","1,073,459,207.87","14,590,991.00","73.57","United States","NASDAQ","USD","1.00","USD","-"
"SPGI","S&P GLOBAL INC","Financials","Equity","1,065,073,807.35","0.35","1,065,073,807.35","3,079,405.00","345.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DE","DEERE","Industrials","Equity","1,041,391,643.60","0.34","1,041,391,643.60","2,513,860.00","414.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LMT","LOCKHEED MARTIN CORP","Industrials","Equity","1,017,031,788.54","0.34","1,017,031,788.54","2,132,947.00","476.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SBUX","STARBUCKS CORP","Consumer Discretionary","Equity","1,015,814,080.95","0.34","1,015,814,080.95","10,370,741.00","97.95","United States","NASDAQ","USD","1.00","USD","-"
